compound_name,retention_time,smiles,split_index
"(2R,3S,4aS,7R,8R,8aS)-2,3,4'-trihydroxy-4,4,7,8a-tetramethylspiro[2,3,4a,5,6,7-hexahydro-1H-naphthalene-8,2'-7,8-dihydro-3H-furo[2,3-e]isoindole]-6'-one",4.488,C[C@@H]1CC[C@@H]2[C@@]([C@@]13CC4=C(C=C5C(=C4O3)CNC5=O)O)(C[C@H]([C@H](C2(C)C)O)O)C,1
Apigenin,4.462,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,1
ETOPOSIDE,3.693,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,1
"6-(1,1-DIMETHYLALLYL)-2-(1-HYDROXY-1-METHYLETHYL)-2,3-DIHYDRO-7H-FURO[3,2-G]CHROMEN-7-ONE",5.647,CC(C)(C=C)C1=CC2=CC3=C(C=C2OC1=O)O[C@@H](C3)C(C)(C)O,1
kavain,4.929,COC1=CC(=O)O[C@H](C1)/C=C/C2=CC=CC=C2,1
formononetin,4.585,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,2
2-[(1S)-1-hydroxyethyl]-1H-quinazolin-4-one,1.128,C[C@@H](C1=NC2=CC=CC=C2C(=O)N1)O,1
DIHYDROROTENONE,5.81,CC(C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,1
7-methoxy-8-(3-methyl-5-oxo-2H-furan-4-yl)chromen-2-one,2.458,CC1=C(C(=O)OC1)C2=C(C=CC3=C2OC(=O)C=C3)OC,1
"3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl (2E,6R)-6-[(1R,3R,6S,8R,12S,15R,16R)-13,17-dihydroxy-7,7,12,16-tetramethyl-6-{[(2R)-3,4,5-trihydroxy-6-{[(3,4,5-trihydroxyoxan-2-yl)oxy]methyl}oxan-2-yl]oxy}pentacyclo[9.7.0.0¹,³.0³,?.0¹²,¹?]octadecan-15-yl]-2-methylhept-2-enoate",3.5940000000000003,C[C@H](CC/C=C(\C)/C(=O)OC1C(C(C(C(O1)CO)O)O)O)[C@H]2CC([C@@]3([C@@]2(C(C[C@]45C3CC[C@@H]6[C@]4(C5)CC[C@@H](C6(C)C)O[C@H]7C(C(C(C(O7)COC8C(C(C(CO8)O)O)O)O)O)O)O)C)C)O,1
kaempferol-3-O-rutinoside,2.374,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O,1
"4-[(2R,3R)-3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-1,2-dimethoxybenzene",5.733,COC[C@H](CC1=CC(=C(C=C1)OC)OC)[C@@H](CC2=CC(=C(C=C2)OC)OC)COC,1
"(2R,4aS,6aR,6aS,14aS,14bR)-10,11-dihydroxy-2,4a,6a,6a,14a-pentamethyl-8-oxo-1,3,4,5,6,13,14,14b-octahydropicene-2-carboxylic acid",5.666,C[C@]12CC[C@@](C[C@H]1[C@@]3(CC[C@]4(C5=CC(=C(C=C5C(=O)C=C4[C@]3(CC2)C)O)O)C)C)(C)C(=O)O,1
Theophylline,0.58,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1
isoliquiritigenin,5.13,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O,1
"[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 3-hydroxy-4,5-dimethoxybenzoate",0.844,COC1=CC(=CC(=C1OC)O)C(=O)OC2C(C(C(C(O2)CO)O)O)O,1
"3-[4,5-dihydroxy-6-(hydroxymethyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",1.829,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)O,1
"[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-10-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",4.763,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3CCC4(C(C3(C)CO)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)O)O)O)O)O)O,1
"3a-hydroxy-3,5a,9-trimethyl-3,4,5,6,7,9b-hexahydrobenzo[g][1]benzofuran-2,8-dione",2.704,CC1C(=O)OC2C1(CCC3(C2=C(C(=O)CC3)C)C)O,1
Mundulone Acetate,6.062,CC(=O)OC1CC2=CC3=C(C=C2OC1(C)C)OC=C(C3=O)C4=C(C5=C(C=C4)OC(C=C5)(C)C)OC,2
"2-[2-[5-[4-[4,5-dihydroxy-6-methyl-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]oxy-1,2,4a,5-tetramethyl-2,3,4,7,8,8a-hexahydronaphthalen-1-yl]-3-methylpent-1-en-3-yl]oxy-5-hydroxy-6-methyl-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-4-yl]oxy-6-methyloxane-3,4,5-triol",4.839,CC1CC(C2(C(C1(C)CCC(C)(C=C)OC3C(C(C(C(O3)C)O)OC4C(C(C(C(O4)C)O)O)O)OC5C(C(C(C(O5)C)O)O)O)CCC=C2C)C)OC6C(C(C(C(O6)C)O)O)OC7C(C(C(C(O7)C)O)O)O,1
"(2S,3S,4S,5R,6R)-4-{[(2S,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}oxan-2-yl]oxy}-3-hydroxy-6-{[(1S,2R,4S,5R,10S,13R,17S)-2-hydroxy-4,5,9,9,13,20,20-heptamethyl-24-oxahexacyclo[15.5.2.0¹,¹?.0?,¹?.0?,¹?.0?,¹³]tetracosan-10-yl]oxy}-5-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxane-2-carboxylic acid",5.4094999999999995,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@H]3[C@@H]([C@H](O[C@H]([C@@H]3O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5CC[C@@]6(C7CC[C@@]89C1CC(CC[C@]1(CO8)[C@@H](C[C@]9([C@@]7(CCC6C5(C)C)C)C)O)(C)C)C)C(=O)O)O)CO)O)O)O)O)O,1
Phloretin,4.539,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,1
1-hydroxyanthraquinone,5.64,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O,1
"[2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methyl 6-hydroxy-2-methoxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzoate",1.805,COC1=C(C=CC(=C1C(=O)OCC2=CC=CC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O,1
"3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-6-methoxychromen-4-one",2.089,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=C(C3=O)C(=C(C(=C4)O)OC)O)C5=CC(=C(C=C5)O)OC)O[C@H]6[C@@H]([C@@H]([C@H]([C@@H](O6)C)O)O)O)O)O)O)O)O,1
"2-methoxy-3,5-dimethyl-6-[(4Z)-4-[(E)-2-methyl-3-(4-nitrophenyl)prop-2-enylidene]oxolan-2-yl]pyran-4-one",5.838,CC1=C(OC(=C(C1=O)C)OC)C2C/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/CO2,1
"Duartin, Dimethyl Ether",5.681,COC1=C(C2=C(C[C@@H](CO2)C3=C(C(=C(C=C3)OC)OC)OC)C=C1)OC,1
"[(3aS,4S,5S,6E,10E,11aR)-6-formyl-5-methoxy-10-methyl-3-methylidene-2-oxo-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-4-yl] 2-methylpropanoate",5.433,C/C/1=C\[C@@H]2[C@@H]([C@@H]([C@H](/C(=C\CC1)/C=O)OC)OC(=O)C(C)C)C(=C)C(=O)O2,2
"(2S,3S,4S)-4-(4-hydroxy-3-methoxyphenyl)-2,3-bis(hydroxymethyl)-7-methoxy-3,4-dihydro-1H-naphthalene-2,6-diol",1.283,COC1=C(C=C2[C@@H]([C@H]([C@@](CC2=C1)(CO)O)CO)C3=CC(=C(C=C3)O)OC)O,1
"(2R,7S,13R,14R,16S,19R,20S)-19-(furan-3-yl)-9,9,13,20-tetramethyl-5,12,17-trioxo-4,8,15,18-tetraoxahexacyclo[11.9.0.0²,?.0²,¹?.0¹?,¹?.0¹?,²?]docosan-11-yl acetate",5.616,CC(=O)OC1C2[C@@]3(COC(=O)C[C@@H]3OC2(C)C)C4CC[C@]5([C@@H](OC(=O)[C@@H]6[C@@]5([C@@]4(C1=O)C)O6)C7=COC=C7)C,1
beta-TOXICAROL,5.924,CC1(C=CC2=C(C3=C(C=C2O1)OC4COC5=CC(=C(C=C5C4C3=O)OC)OC)O)C,1
"[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl] 2,6,6-trimethylcyclohexene-1-carboxylate",2.205,CC1=C(C(CCC1)(C)C)C(=O)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,1
"(1S,4aS,7S,7aS)-1-[(2S,3R,4S,5S,6R)-6-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-7-hydroxy-7-methyl-4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-4-carboxylic acid",2.118,C[C@@]1(CC[C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COC(=O)/C=C/C4=CC(=C(C=C4)O)O)O)O)O)O,1
"methyl (2S,3R,4S)-3-ethenyl-4-[(Z)-3-[(2S,3R,4R)-3-ethenyl-5-methoxycarbonyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydro-2H-pyran-4-yl]-4-oxobut-2-enyl]-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydro-2H-pyran-5-carboxylate",2.565,COC(=O)C1=CO[C@H]([C@@H]([C@@H]1C/C=C(\C=O)/[C@H]2[C@H]([C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C=C)C=C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,1
"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxymethyl]oxan-2-yl] (E)-3-phenylprop-2-enoate",4.742,C1=CC=C(C=C1)/C=C/C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)/C=C/C3=CC=C(C=C3)O)O)O)O,1
"(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]-2,3-dihydrochromen-4-one",1.734,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)C3=C(C4=C(C=C3O)O[C@@H](CC4=O)C5=CC=C(C=C5)O)O)O)O)O)O)O)O,1
"4,6-dihydroxy-4-(hydroxymethyl)-3,4a,8,8-tetramethyl-5,6,7,8a-tetrahydronaphthalen-1-one",1.972,CC1=CC(=O)C2C(CC(CC2(C1(CO)O)C)O)(C)C,1
"[(2S,3R,4S,5S,6R)-6-[[(2R,3R,4R,5S,6R)-3,4-dihydroxy-6-(hydroxymethyl)-5-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl] (1S,2R,4aS,6aS,6bR,9R,10R,11R,12aR)-10,11-dihydroxy-9-(hydroxymethyl)-1,2,6a,6b,9,12a-hexamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylate",3.684,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CCC4[C@]3(CCC5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)C2[C@H]1C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O)O)O)O,1
"5,6-dihydroxy-9,12,13-trimethyl-14-(2-methylpropyl)-2H,5H,6H,7H,8H,13H,13aH,14H,15H,16H,16bH-oxacyclododeca[3,2-e]isoindole-2,16-dione",5.473,CC1C2C(NC(=O)C23C(/C=C(/CCC(=O)C(CCC(=O)O3)O)\C)C=C1C)CC(C)C,1
"Irigenin, 7-Benzyl Ether",5.816,COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)OCC4=CC=CC=C4,1
"2-[(2E)-3,7-dimethylocta-2,6-dienyl]-3-methoxy-5-(2-phenylethyl)phenol",6.33,CC(=CCC/C(=C/CC1=C(C=C(C=C1OC)CCC2=CC=CC=C2)O)/C)C,1
"(2R,3R,4R,5R,6S)-2-[[(2R,3S,4S,5R,6R)-6-[1,7-bis(4-hydroxyphenyl)heptan-3-yloxy]-3,4,5-trihydroxyoxan-2-yl]methoxy]-6-methyloxane-3,4,5-triol",3.728,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC(CCCCC3=CC=C(C=C3)O)CCC4=CC=C(C=C4)O)O)O)O)O)O)O,2
Mangiferin,1.179,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,1
"6,8-dihydroxy-3-(10-hydroxyundecyl)-3,4-dihydroisochromen-1-one",5.763,CC(CCCCCCCCCC1CC2=C(C(=CC(=C2)O)O)C(=O)O1)O,1
"2-(7-oxo-2,3-dihydrofuro[3,2-g]chromen-2-yl)propan-2-yl 3-methylbut-2-enoate",5.816,CC(=CC(=O)OC(C)(C)C1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)C,1
"(4S,5Z,6S)-5-[2-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxyethylidene]-4-(2-methoxy-2-oxoethyl)-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid",2.601,COC(=O)C[C@@H]\1C(=CO[C@H](/C1=C\COC(=O)/C=C/C2=CC=C(C=C2)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O,1
"(3R,6aR,7S,12aS)-5,6,6a,7,8-pentahydroxy-3-methyl-3,4,5,6,7,12a-hexahydro-2H-benzo[a]anthracene-1,12-dione",0.914,C[C@@H]1CC2=C([C@@H]3C(=O)C4=C([C@@H]([C@]3(C(C2O)O)O)O)C(=CC=C4)O)C(=O)C1,2
"(1S,4aS,5S,7aS)-7-(acetyloxymethyl)-5-hydroxy-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylic acid",0.533,CC(=O)OCC1=C[C@@H]([C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,1
"4-benzoyl-9,13,13-trimethyl-8-oxatetracyclo[7.4.1.0²,?.0¹²,¹?]tetradeca-2,4,6-triene-3,5-diol",6.069,CC1(C2CCC3(C2C1C4=C(O3)C=C(C(=C4O)C(=O)C5=CC=CC=C5)O)C)C,1
Isopimpinellin,4.531,COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC,1
"(Z)-9,12,13-trihydroxyoctadec-15-enoic acid",4.523,CC/C=C\CC(C(CCC(CCCCCCCC(=O)O)O)O)O,1
"(6aS)-1,2,10-trimethoxy-6-methyl-6-oxido-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-6-ium-9-ol",4.954,C[N+]1(CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)O)OC)OC)[O-],1
cyclopeptine,3.697,CN1C(C(=O)NC2=CC=CC=C2C1=O)CC3=CC=CC=C3,1
poliumoside,2.551,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCCC3=CC(=C(C=C3)O)O)O)O[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)C)O)O)O)OC(=O)/C=C/C5=CC(=C(C=C5)O)O)O)O)O,1
3-hydroxy-1-(4-hydroxyphenyl)propan-1-one,0.775,C1=CC(=CC=C1C(=O)CCO)O,1
"(2R,3S,4S,5R,6R)-2-[[(2R,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-[(2E)-3,7-dimethylocta-2,6-dienoxy]oxane-3,4,5-triol",3.235,CC(=CCC/C(=C/CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]2[C@@H]([C@H]([C@@H](O2)CO)O)O)O)O)O)/C)C,1
Fucoxanthin,6.257,C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C(=O)C[C@]12[C@](O1)(C[C@H](CC2(C)C)O)C)/C=C/C=C(\C)/C=C=C3[C@](C[C@H](CC3(C)C)OC(=O)C)(C)O,2
Hecogenin,5.833,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(C(=O)C[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1,1
HARMALOL ,2.381,CC1=NCCC2=C1NC3=C2C=CC(=C3)O,1
"2',4-Dihydroxy-3,4',6'-Trimethoxychalcone",5.816,COC1=CC(=C(C(=C1)OC)C(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,1
"(2-acetyloxy-3,6-diphenylcyclohexyl) acetate",5.924,CC(=O)OC1C(CCC(C1OC(=O)C)C2=CC=CC=C2)C3=CC=CC=C3,2
"3,4-dimethyl-2,5-bis(3,4,5-trimethoxyphenyl)oxolane",5.763,CC1C(C(OC1C2=CC(=C(C(=C2)OC)OC)OC)C3=CC(=C(C(=C3)OC)OC)OC)C,1
Ambocin,2.198,C1[C@@]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC=C(C4=O)C5=CC=C(C=C5)O)O)O)O)O)O)(CO)O,1
calycosin-7-O-beta-D-glucoside,2.849,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,1
Cycloveratrylene,5.803,COC1=C(C=C2CC3=CC(=C(C=C3CC4=CC(=C(C=C4CC2=C1)OC)OC)OC)OC)OC,1
4-[4-[hydroxy-(4-hydroxy-3-methoxyphenyl)methyl]-3-(hydroxymethyl)oxolan-2-yl]-2-methoxyphenol,2.04,COC1=C(C=CC(=C1)C2C(C(CO2)C(C3=CC(=C(C=C3)O)OC)O)CO)O,1
Hypoxanthine,0.337,C1=NC2=C(N1)C(=O)NC=N2,1
SPECTINOMYCIN,0.876,C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)NC)O)NC)O)O,2
"(4,7,7-trimethyl-3-bicyclo[2.2.1]heptanyl) (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",6.009,CC1(C2CCC1(C(C2)OC(=O)/C=C/C3=CC(=C(C=C3)O)OC)C)C,1
"(1R,3E,5R,7S,11R,12R,13S,14S)-1,13-bis(acetyloxy)-3,6,6,14-tetramethyl-10-methylidene-2-oxotricyclo[10.3.0.0?,?]pentadec-3-en-11-yl acetate",5.977,C[C@H]1C[C@]2([C@H]([C@H]1OC(=O)C)[C@H](C(=C)CC[C@H]3[C@H](C3(C)C)/C=C(/C2=O)\C)OC(=O)C)OC(=O)C,1
"3-[(E)-3,4-dihydroxy-3,5-dimethylhept-1-enyl]-7,8-dihydroxy-7-methyl-8,8a-dihydro-1H-isochromen-6-one",2.801,CCC(C)C(C(C)(/C=C/C1=CC2=CC(=O)C(C(C2CO1)O)(C)O)O)O,1
CRUSTECDYSONE,2.024,C[C@]12CC[C@H]3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O,1
"2-acetyl-6-[(3-butanoyl-2,4,6-trihydroxy-5-methylphenyl)methyl]-3,5-dihydroxy-4,4-dimethylcyclohexa-2,5-dien-1-one",5.808,CCCC(=O)C1=C(C(=C(C(=C1O)CC2=C(C(C(=O)C(=C2O)C(=O)C)(C)C)O)O)C)O,1
Angeloylgomisin H,5.709,C/C=C(/C)\C(=O)OC1=C2C(=CC(=C1OC)OC)C[C@@H]([C@@](CC3=CC(=C(C(=C32)OC)OC)OC)(C)O)C,1
